Doc-ID,Token-Count,Sentence-Count,Initial-Cas-bytes
110799165,144,7,18839
11083637,218,10,25663
11085089,64,3,11586
110872384,219,10,25536
11089851,155,5,19638
111003924,218,7,25269
111182008,311,13,33780
111312000,257,9,28677
11132771,93,4,14329
1115080,268,9,29779
11169076,129,4,17303
11189518,258,11,29009
11191064,261,12,29495
11191880,197,10,23554
1120301,189,7,22930
1122486,47,3,10267
11226437,357,13,37550
11227979,107,5,15565
11230814,287,11,31721
11258332,294,15,32449
11262724,193,14,23187
1126561,106,4,15358
11268891,69,3,12088
11276529,93,4,14248
112805,49,2,10265
11287222,305,13,33402
11295555,129,6,17548
11298234,32,2,8876
1129919,251,11,28656
11300384,68,4,12076
113017196,213,8,24892
11302970,392,10,40364
11306936,185,7,22508
11311792,92,4,14190
11316954,219,10,25685
1132191,142,5,18344
11333455,57,2,10970
1133784,83,4,13447
11352770,103,6,15252
113528639,541,23,54662
11355058,168,7,20856
11355624,220,12,25859
11357212,103,4,15197
11367605,212,9,25058
11372214,87,5,13828
11386929,65,2,11653
113910796,216,10,25225
11397786,209,9,24758
11406847,75,2,12563
11407236,256,10,29037
11412417,198,9,23612
114184859,104,4,15208
11425242,69,3,12146
11427705,94,3,14295
11432042,30,1,8620
114325040,264,10,29453
11432532,238,14,27610
11433524,316,10,33925
1143670,49,2,10234
11440969,45,2,9955
11442848,73,3,12382
11444752,53,2,10649
1144852,226,8,25993
11453651,107,6,15641
11470423,193,7,23191
11481267,142,6,18688
114852532,142,6,18488
114855631,209,8,24673
1149973,117,5,16390
11503682,256,8,28734
115065697,414,13,42944
11506573,197,9,23473
11513365,68,3,12010
11516288,163,5,20356
115200441,111,6,15833
11530848,196,8,23706
11536583,275,9,30253
1154789,251,7,28088
11561663,132,6,17838
11571321,110,4,15700
11576530,129,5,17491
11581631,253,9,28684
116194580,293,10,31914
11630014,57,3,11026
11634346,159,9,20308
116468796,127,4,17128
11648576,93,5,14329
11668579,45,2,9973
11678860,205,6,23795
11680024,310,10,33449
11692852,58,2,11080
11702198,135,6,18043
1170989,175,9,21691
11711391,208,5,24246
11716081,165,7,20680
1171900,122,5,16905
117220286,94,2,14151
11723377,247,11,28271
11723952,370,11,38889
11737798,292,10,32015
11747496,161,7,20221
11751640,146,4,18925
11752955,337,7,34889
1175297,135,3,17640
11767081,183,8,22234
11767309,103,3,14828
11770161,193,8,23208
11771768,254,13,29073
1177643,166,6,20633
11776857,156,6,19916
11778074,112,4,15744
11779155,136,5,18011
117982139,411,11,42138
11805485,288,7,31037
11820032,144,6,18690
11821617,112,6,16095
11837926,212,9,24979
11845739,246,9,27518
11846285,225,8,25891
1186014,383,14,40281
11860966,26,1,8281
118661426,156,3,19553
11867695,133,5,17674
11874454,232,6,26149
118749489,73,2,12216
11875408,101,2,14640
11878445,277,10,30672
11886363,213,9,24929
11887813,222,6,25541
11892825,37,2,9274
1189819,28,1,8481
11906731,29,1,8450
11907504,152,6,19511
11908583,125,3,16953
11913610,116,4,16192
11917918,111,4,15797
11927734,150,6,19201
11943249,84,3,13369
1195262,184,8,22326
11953722,248,9,28055
11955714,128,4,17118
119584450,301,8,31737
11959887,115,4,16069
119622456,71,5,12306
1196378,250,7,28071
119672273,41,2,9440
11969674,246,9,27899
11983708,246,9,27888
11997578,227,11,26544
11999217,304,8,32420
12015218,62,3,11445
12017271,93,2,13948
120386431,218,9,25457
12039089,90,4,13875
12053250,82,2,13191
12053769,86,4,13661
120683091,112,6,16018
1207537,207,10,24593
12077360,182,8,22233
12079602,233,5,26377
1208153,216,8,25192
12083090,132,5,17619
12086819,195,7,23215
12088381,87,3,13674
12089560,96,5,14635
12097613,112,6,16064
121072363,132,6,17652
121198261,218,9,25493
12120219,216,7,25105
12128755,216,9,25430
121323870,74,3,12493
12136266,160,8,20274
12138409,252,8,28382
12145812,210,8,24775
12154685,84,3,13428
12162030,90,3,13950
1218073,71,3,12252
12195710,210,4,24110
12208504,209,6,24559
12211575,118,4,16435
12216388,137,6,18111
12226980,162,6,20349
12229221,285,22,31997
12235702,64,3,11662
12248404,160,6,20197
12251301,80,3,13099
1225991,173,7,21378
1226184,166,5,20633
122620909,81,3,13079
12262854,150,6,19367
12263618,85,5,13569
1227227,165,4,20377
12273990,219,10,25751
12283846,94,4,14332
12287966,221,9,25791
122921791,181,6,21886
123009782,178,4,21298
123104295,290,14,32070
12310786,179,4,21726
1231091,46,2,10053
12313405,136,3,17871
123186418,244,9,27698
123289364,173,8,21453
12330926,142,5,18580
12336764,180,7,21821
12339770,225,9,26068
12340139,180,13,22080
123407802,113,5,16096
1234235,215,7,24936
1235024,293,9,31920
12350460,57,2,10980
12351362,107,4,15457
12353251,214,9,24953
12356710,189,6,22836
12358347,70,3,12175
12360383,102,3,14850
12361906,141,6,18661
123683937,268,16,30279
12369516,116,5,16317
123870068,175,7,21595
123984054,142,4,18501
124196962,208,9,24660
124208824,177,8,21918
12421179,211,8,24851
124221161,54,2,10625
12437892,175,5,21503
124389106,179,7,21852
124439203,160,6,20152
124439646,126,6,17201
124480224,135,7,18081
124522079,130,6,17522
12453907,71,2,12075
12454447,58,2,11074
124604461,202,8,23948
12466473,154,7,19696
124669734,422,14,43435
12467722,231,8,26392
12473931,105,7,15500
124778962,254,9,28418
124797320,120,5,16660
12481879,201,7,23757
124844245,135,4,17929
124926842,135,6,18077
12494921,227,9,26303
124965,275,15,30612
124980390,135,6,18009
1249882,160,6,20266
12508999,94,4,14395
125225449,131,6,17732
125245639,163,6,20358
125261071,306,12,33388
125265118,150,7,19396
125274114,25,1,8235
12530228,217,12,25414
12536168,51,2,10448
125500381,227,8,26053
125505847,47,1,10013
125507317,94,1,13904
12556991,325,14,35288
125603052,79,4,12887
1256051,161,5,20091
1256259,113,5,16003
1256512,197,11,23598
125681,211,7,24867
12578501,195,7,23285
125798,268,10,29906
125825496,64,3,11612
125826861,229,8,26236
125852700,215,5,24738
12600648,64,4,11725
12605195,42,2,9715
126121241,265,8,28551
126130967,144,7,18826
12616031,84,5,13536
1262667,136,5,17716
126288235,99,3,14734
126322529,158,7,20101
1264948,39,2,9502
126532,246,6,27476
12658259,247,9,27952
12659518,240,11,27545
12673,219,9,25633
12691460,406,10,41167
1271110,122,6,16966
12728177,192,8,23179
12753552,54,2,10721
12759186,266,8,29660
12769369,231,9,26538
12771558,303,8,32476
12774854,150,5,19302
1277572,40,1,9410
12775881,204,9,24348
12783703,55,2,10810
12793544,60,3,11299
12808441,260,11,29295
128093990,280,11,31059
128138295,196,6,23207
12814862,78,4,12946
12827214,204,8,24223
128362725,185,8,22377
12836653,233,7,26546
12849200,204,8,24104
128950503,200,11,23858
12897791,142,5,18419
12898699,81,5,13300
12900702,172,5,21250
1290813,171,8,21244
1291129,177,9,21902
129254383,155,8,19886
12928009,131,6,17704
1293084,125,5,16956
1293354,97,2,14339
12941796,43,2,9811
12952221,63,4,11390
12962125,97,5,14623
1296788,260,7,28926
12973252,204,9,24261
12982333,122,4,16763
12983366,117,6,16522
12990192,109,5,15683
129945995,80,4,13031
13001147,225,10,26241
13003129,192,9,23160
13014393,150,4,19124
13019261,89,3,13755
13024773,137,6,18225
13026437,39,2,9473
13029400,98,3,14533
13029757,147,5,19028
13039890,45,2,9940
1304675,224,9,25858
13054863,175,8,21625
13058445,257,10,28840
13063463,94,3,14117
13069647,104,5,15276
13071699,167,7,20971
13076274,263,11,29396
13077354,52,2,10519
13091069,269,9,29930
13106452,20,1,7804
13134421,134,10,18032
131431,198,8,23577
1314464,179,9,22004
13155918,155,7,19805
13157067,341,8,35788
131764183,186,5,22307
131837602,78,3,12857
13184209,74,3,12528
13187648,67,2,11874
131916010,250,8,28209
1319171,129,6,17571
1319237,146,4,18835
13201357,87,4,13869
132217695,133,5,17729
13237323,219,10,25542
13239797,150,5,19207
13239974,163,5,20261
13252928,158,7,20106
132677322,235,5,26908
13269503,74,4,12500
132733471,33,1,8869
13277145,98,4,14692
13281701,188,7,22715
13287924,158,7,20088
13291169,190,8,22979
13321608,156,4,19660
133251033,237,9,27068
13341543,397,12,40948
